,tahun,jumlah_pengangguran,kelompok_pendidikan
0,2022,24852,Tidak/belum pernah sekolah
1,2022,437819,Tidak/belum tamat SD
2,2022,1230914,SD
3,2022,1460221,SLTP
4,2022,2251558,SLTA Umum/SMU
5,2022,1876661,SLTA Kejuruan/SMK
6,2022,235359,Akademi/Diploma
7,2022,884769,Universitas
8,2021,20461,Tidak/belum pernah sekolah
9,2021,342734,Tidak/belum tamat SD
10,2021,1219494,SD
11,2021,1515089,SLTP
12,2021,2305093,SLTA Umum/SMU
13,2021,2089137,SLTA Kejuruan/SMK
14,2021,254457,Akademi/Diploma
15,2021,999543,Universitas
16,2020,35761,Tidak/belum pernah sekolah
17,2020,346778,Tidak/belum tamat SD
18,2020,1006744,SD
19,2020,1251352,SLTP
20,2020,1748834,SLTA Umum/SMU
21,2020,1443522,SLTA Kejuruan/SMK
22,2020,267583,Akademi/Diploma
23,2020,824912,Universitas
24,2019,36422,Tidak/belum pernah sekolah
25,2019,443495,Tidak/belum tamat SD
26,2019,965641,SD
27,2019,1235199,SLTP
28,2019,1690527,SLTA Umum/SMU
29,2019,1397281,SLTA Kejuruan/SMK
30,2019,274377,Akademi/Diploma
31,2019,855854,Universitas
32,2018,43740,Tidak/belum pernah sekolah
33,2018,452326,Tidak/belum tamat SD
34,2018,975661,SD
35,2018,1265421,SLTP
36,2018,1672601,SLTA Umum/SMU
37,2018,1445340,SLTA Kejuruan/SMK
38,2018,304744,Akademi/Diploma
39,2018,803624,Universitas
40,2017,92331,Tidak/belum pernah sekolah
41,2017,546897,Tidak/belum tamat SD
42,2017,1292234,SD
43,2017,1281240,SLTP
44,2017,1552894,SLTA Umum/SMU
45,2017,1383022,SLTA Kejuruan/SMK
46,2017,249705,Akademi/Diploma
47,2017,606939,Universitas
48,2016,94293,Tidak/belum pernah sekolah
49,2016,557418,Tidak/belum tamat SD
50,2016,1218954,SD
51,2016,1313815,SLTP
52,2016,1546699,SLTA Umum/SMU
53,2016,1348327,SLTA Kejuruan/SMK
54,2016,249362,Akademi/Diploma
55,2016,695304,Universitas
56,2015,124303,Tidak/belum pernah sekolah
57,2015,603194,Tidak/belum tamat SD
58,2015,1320392,SD
59,2015,1650387,SLTP
60,2015,1762411,SLTA Umum/SMU
61,2015,1174366,SLTA Kejuruan/SMK
62,2015,254312,Akademi/Diploma
63,2015,565402,Universitas
64,2014,134040,Tidak/belum pernah sekolah
65,2014,610574,Tidak/belum tamat SD
66,2014,1374822,SD
67,2014,1693203,SLTP
68,2014,1893509,SLTA Umum/SMU
69,2014,847365,SLTA Kejuruan/SMK
70,2014,195258,Akademi/Diploma
71,2014,398298,Universitas
