,country,tahun,jumlah
0,Indonesia,1800,16100000.000000002
1,Indonesia,1801,16200000.0
2,Indonesia,1802,16200000.0
3,Indonesia,1803,16200000.0
4,Indonesia,1804,16300000.0
5,Indonesia,1805,16300000.0
6,Indonesia,1806,16399999.999999998
7,Indonesia,1807,16399999.999999998
8,Indonesia,1808,16399999.999999998
9,Indonesia,1809,16500000.0
10,Indonesia,1810,16500000.0
11,Indonesia,1811,16600000.000000002
12,Indonesia,1812,16600000.000000002
13,Indonesia,1813,16700000.0
14,Indonesia,1814,16800000.0
15,Indonesia,1815,16800000.0
16,Indonesia,1816,16900000.0
17,Indonesia,1817,17000000.0
18,Indonesia,1818,17100000.0
19,Indonesia,1819,17100000.0
20,Indonesia,1820,17200000.0
21,Indonesia,1821,17300000.0
22,Indonesia,1822,17400000.0
23,Indonesia,1823,17500000.0
24,Indonesia,1824,17700000.0
25,Indonesia,1825,17800000.0
26,Indonesia,1826,17900000.0
27,Indonesia,1827,18000000.0
28,Indonesia,1828,18200000.0
29,Indonesia,1829,18300000.0
30,Indonesia,1830,18500000.0
31,Indonesia,1831,18600000.0
32,Indonesia,1832,18800000.0
33,Indonesia,1833,18900000.0
34,Indonesia,1834,19100000.0
35,Indonesia,1835,19200000.0
36,Indonesia,1836,19400000.0
37,Indonesia,1837,19600000.0
38,Indonesia,1838,19700000.0
39,Indonesia,1839,19900000.0
40,Indonesia,1840,20100000.0
41,Indonesia,1841,20200000.0
42,Indonesia,1842,20400000.0
43,Indonesia,1843,20600000.0
44,Indonesia,1844,20800000.0
45,Indonesia,1845,21000000.0
46,Indonesia,1846,21100000.0
47,Indonesia,1847,21300000.0
48,Indonesia,1848,21600000.0
49,Indonesia,1849,21800000.0
50,Indonesia,1850,22000000.0
51,Indonesia,1851,22200000.0
52,Indonesia,1852,22400000.0
53,Indonesia,1853,22600000.0
54,Indonesia,1854,22800000.0
55,Indonesia,1855,23000000.0
56,Indonesia,1856,23300000.0
57,Indonesia,1857,23500000.0
58,Indonesia,1858,23700000.0
59,Indonesia,1859,24000000.0
60,Indonesia,1860,24200000.0
61,Indonesia,1861,24500000.0
62,Indonesia,1862,24800000.0
63,Indonesia,1863,25000000.0
64,Indonesia,1864,25300000.0
65,Indonesia,1865,25600000.0
66,Indonesia,1866,25900000.0
67,Indonesia,1867,26200000.0
68,Indonesia,1868,26500000.0
69,Indonesia,1869,26800000.0
70,Indonesia,1870,27100000.0
71,Indonesia,1871,27400000.0
72,Indonesia,1872,27700000.0
73,Indonesia,1873,28000000.0
74,Indonesia,1874,28300000.0
75,Indonesia,1875,28600000.0
76,Indonesia,1876,29000000.0
77,Indonesia,1877,29300000.0
78,Indonesia,1878,29500000.0
79,Indonesia,1879,29800000.0
80,Indonesia,1880,30100000.0
81,Indonesia,1881,30400000.0
82,Indonesia,1882,30700000.0
83,Indonesia,1883,31100000.0
84,Indonesia,1884,31400000.0
85,Indonesia,1885,31900000.0
86,Indonesia,1886,32200000.000000004
87,Indonesia,1887,32600000.0
88,Indonesia,1888,33000000.0
89,Indonesia,1889,33400000.0
90,Indonesia,1890,33800000.0
91,Indonesia,1891,34100000.0
92,Indonesia,1892,34500000.0
93,Indonesia,1893,34900000.0
94,Indonesia,1894,35400000.0
95,Indonesia,1895,35800000.0
96,Indonesia,1896,36300000.0
97,Indonesia,1897,36700000.0
98,Indonesia,1898,37200000.0
99,Indonesia,1899,37700000.0
100,Indonesia,1900,38200000.0
101,Indonesia,1901,38700000.0
102,Indonesia,1902,39200000.0
103,Indonesia,1903,39600000.0
104,Indonesia,1904,40100000.0
105,Indonesia,1905,40600000.0
106,Indonesia,1906,41000000.0
107,Indonesia,1907,41500000.0
108,Indonesia,1908,41900000.0
109,Indonesia,1909,42400000.0
110,Indonesia,1910,42800000.0
111,Indonesia,1911,43200000.0
112,Indonesia,1912,43700000.0
113,Indonesia,1913,44200000.0
114,Indonesia,1914,44600000.0
115,Indonesia,1915,45100000.0
116,Indonesia,1916,45500000.0
117,Indonesia,1917,45800000.0
118,Indonesia,1918,46200000.0
119,Indonesia,1919,46700000.0
120,Indonesia,1920,47300000.0
121,Indonesia,1921,47900000.0
122,Indonesia,1922,48400000.0
123,Indonesia,1923,49000000.0
124,Indonesia,1924,49600000.0
125,Indonesia,1925,50200000.0
126,Indonesia,1926,50800000.0
127,Indonesia,1927,51400000.0
128,Indonesia,1928,52100000.0
129,Indonesia,1929,52700000.0
130,Indonesia,1930,53400000.0
131,Indonesia,1931,54100000.0
132,Indonesia,1932,54900000.0
133,Indonesia,1933,55800000.0
134,Indonesia,1934,56600000.0
135,Indonesia,1935,57400000.0
136,Indonesia,1936,58300000.0
137,Indonesia,1937,59100000.0
138,Indonesia,1938,60000000.0
139,Indonesia,1939,60900000.0
140,Indonesia,1940,61800000.0
141,Indonesia,1941,62800000.0
